Average Food
900
888
879
868
853
845
835
826
817
809
804
797
782
760
750
740
731
719
703
692
677
667
657
649
640
632
623
609
595
587
578
564
549
540
532
522
508
493
476
454
442
428
412
398
383
371
364
354
340
333
323
312
300
288
273
261
255
241
233
224
206
184
169
164
147
130
122
115
110
101
87
76
62
52
48
46
35
30
25
21
19
11
11
10
8
7
7
6
6
5
5
5
4
4
4
4
4
4
4
4
