Average Utility
0.100000
0.100000
0.100000
0.100000
0.067220
0.056293
0.056293
0.038107
0.022780
0.005883
0.037332
0.039287
0.024839
0.035279
0.041595
0.036840
0.036876
0.039747
0.023543
0.016092
0.040621
0.031115
0.027317
0.033296
0.041037
0.036867
0.038139
0.030569
0.028719
0.016585
0.032161
0.029299
0.041649
0.044307
0.041759
0.044531
0.050460
0.037661
0.041833
0.031289
0.041911
0.031400
0.026304
0.025941
0.042393
0.033716
0.041189
0.036809
0.033864
0.031329
0.039639
0.039844
0.021640
0.029505
0.035943
0.037675
0.039317
0.038047
0.030879
0.035999
